France,France - Vosges,Rocher Philippe,"A friendly crag just above the village of Philippsbourg. It has two faces, an overhanging East side with some hard, strenuous routes, and a vertical south side with some mid grade routes.",Sandstone,300m
France,France - Vosges,Vieux Windstein,A very interesting crag with a long history and some fine routes.,Sandstone,300m
Germany,Germany - Bayern,Wiesenwand,"A short, pleasant, easily approachable crag, with routes up to 15m in length. The crag gets some sun in the middle of the day in winter and is a useful venue on summer evenings.",Limestone,700m
Germany,Germany - Frankenjura,Betzensteiner Sportkletterwand,"A nice place, easily accessible and close to Betzenstein swimming pool. Lots of mid grade routes up to 12m in length. It is north facing and stays cool in summer.",Limestone,500m
Germany,Germany - Frankenjura,Bleisteine,"A small crag very near the road that has some excellent routes up to 15m long. Unfortunately the ""classics"" are very polished",Limestone,450m
Germany,Germany - Frankenjura,Grüne Hölle,"A small crag with several excellent sustained routes, both in the easier and the harder grades.",Limestone,500m
Germany,Germany - Frankenjura,Hexenküche,"A lovely outcrop deep in a beautiful wood. Hexenküche has many excellent routes up to 7b-ish, easy access and as such is a popular venue.",Limestone,600m
Germany,Germany - Frankenjura,Soranger Wand,"Another good, popular, steep, pocketed limestone crag with short (up to 12m) routes. It has a mix of grades.",Limestone,500m
Germany,Germany - Frankenjura,Wolfsberg Grotte,"A small crag with a large cave. Wolfsberg Grotte offers a few hard , steep routes, that unfortunately stay wet a long time.",Limestone,450m
Germany,Germany - Rheinland Pfalz,Teufelstisch,"A unique rock formation. Only a few routes on it, but well worth the visit. Wear your smartest gear, it is a popular tourist attraction",Sandstone,200m
Germany,Germany - Schlüchttal,Schlüchttal Falkenstein,"Falkenstein is geologically interesting, with the large cliff split into three distinct sections. The lower tier has a few routes, but are mostly of value as the access to the other two.",Granite,500m
Germany,Germany - Schlüchttal,Schlüchttal Schwedenfels,An excellent sport climbing crag with about 40 routes up to 40m in length. Grades between 5a and 8b.,Granite,300m
Germany,Germany - Schlüchttal,Schlüchttal Tannholzwand,"Tannholzwand is a wonderful wall, one of the main attractions of Schlüchttal, with routes that go up to 60m in length.",Granite,400m
Greece,Greece - Kalymnos,Kalymnos Arginonta,The bright red walls of Arginonta contain many outstanding climbs that are spoilt only by the popularity of the crag.,Limestone,50m
Greece,Greece - Kalymnos,Kalymnos Arginonta skyline,"With fantastic views over Arginonta bay, a sense of loneliness, and some quality rock and routes to match, the Arginonta skyline is well worth the longer walk.",Limestone,300m
Greece,Greece - Kalymnos,Kalymnos Arginonta Valley,"Arginonta valley is a set of 3 cliffs just a few miinutes walk from the parking in Arginonta village With it's well bolted, mid grade routes, on good rock, that are in the shade when most crags are",Limestone,100m
Greece,Greece - Kalymnos,Kalymnos Arhi,"Arhi is an excellent and popular crag, and has a bit of everything.",Limestone,150m
Greece,Greece - Kalymnos,Kalymnos Balcony Helvetia,"Excellent tufa climbing in the caves above Arhi. The rock is sometimes sharp and crumbly, although with traffic this has improved a lot.",Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Beach,Solid climbing on rough rock with good holds in a beautiful location. Shade after midday,Limestone,0m
Greece,Greece - Kalymnos,Kalymnos Belgian Chocolates,"Excellent wall climbing on good pockets and gouttes d'eau. Some of the routes are 2 or more pitches, the 2nd pitches of which are excellent.",Limestone,0m
Greece,Greece - Kalymnos,Kalymnos Big Shadow,A big crag with a mountain feel about it and lots of potential for more routes up the orange walls.,Limestone,400m
Greece,Greece - Kalymnos,Kalymnos Cave,"Cave is so called because of, you guessed it, a cave. Not the cave on the crag, but the cave under the crag which is accessed via an iron gate and a ladder and is well worth exploring, it is huge.",Limestone,150m
Greece,Greece - Kalymnos,Kalymnos E.T.,E.T. is so called because of it's resemblance to the alien in the Spielberg film.,Limestone,400m
Greece,Greece - Kalymnos,Kalymnos Galatiani,A quiet cliff with three distinct sectors. Reservoir Dogs is the nearest to the road and has a handful of long wall climbs on rough rock.,Limestone,300m
Greece,Greece - Kalymnos,Kalymnos Gerakios Left,"Gerakios Left has two cliffs, Rainbow Wall and the Upper Cave. Both are excellent, with routes mostly in the 7s and 8s, although there are a few easier ones.",Limestone,300m
Greece,Greece - Kalymnos,Kalymnos Gerakios Right,"Gerakios has two distinct sectors. The left hand side containing the more difficult routes on Rainbow Wall and the Upper Cave, and the right hand side including Main Wall and Trois Ilots.",Limestone,300m
Greece,Greece - Kalymnos,Kalymnos Ghost Kitchen,"An excellent and popular crag with a wide variety of routes, from pleasant slabs to incredible tufas on a gently overhanging wall. There are 4 sectors.",Limestone,100m
Greece,Greece - Kalymnos,Kalymnos Grande Grotta,"Big roofs ! The showpiece of Kalymnos is understandably very popular, and queueing for routes is not uncommon.",Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Great Canyon,"A small goat's cave up the gorge from Sea Breeze, Great Canyon has a few slabs and some steeper cave routes that stay in the shade most of the day",Limestone,100m
Greece,Greece - Kalymnos,Kalymnos Heroes,A nice crag high up above Emporios Bay with wonderful views and some excellent short routes,Limestone,400m
Greece,Greece - Kalymnos,Kalymnos Iannis,"Iannis is a the large stalactite cave at the left hand end of Poets, flanked by steep orange walls containing many steep classic tufa lines.",Limestone,100m
Greece,Greece - Kalymnos,Kalymnos Iliada,"Iliada is overshadowed by Odyssey, but perhaps should not be. It is less polished, has some excellent routes, and for a few minutes extra walk is a lot less crowded.",Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Je t'aime,"Situated just off the Arginonta, Vathy road just after the col, Je t'aime has a varied selection of routes, from hard overhanging walls to easy slabs.",Limestone,300m
Greece,Greece - Kalymnos,Kalymnos Jurassic Park,A scenic walk to an excellent crag that is usually far from the madding crowds.,Limestone,300m
Greece,Greece - Kalymnos,Kalymnos Kalydna,"Big steep orange walls with technical climbing on pockets and crimps. Excellent. Gets the sun after about 14.00, although the right hand parts can be climbed until 16.00",Limestone,100m
Greece,Greece - Kalymnos,Kalymnos Kastri,"Kastri is an archeological site, which is interesting to visit in its own right. The climbing is in 3 sectors. The left hand sector, Kreissaal, is mostly slabs.",Limestone,100m
Greece,Greece - Kalymnos,Kalymnos Local Freezer,A couple of caves with some steep overhanging routes that are always in the shade,Limestone,250m
Greece,Greece - Kalymnos,Kalymnos Milianos Cave,Milianos cave is the prominent small cave visible from the large bend in the road as you descend from Arginonta Pass to Vathy. The climbing is on the walls left of the cave.,Limestone,400m
Greece,Greece - Kalymnos,Kalymnos Nikoleta,The two large caves just up the road from Summertime have some good and very steep routes. Easy access and shade in the afternoon.,Limestone,100m
Greece,Greece - Kalymnos,Kalymnos North Cape,"Pleasant climbing, mainly on slabs and steep walls with a couple of caves to test the ambitious climber. Bolting is good and the holds often sharp.",Limestone,100m
Greece,Greece - Kalymnos,Kalymnos Noufaro,A big crag with 7 distinct sectors (referenced A to G here). A bit of everything from steep tufa climbs to easy pocketed slabs. Excellent throughout.,Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Odyssey,"Routes for everyone here.From 4b to 9a. Gets the sun after about 2pm on the left hand side, later on the right hand side and in the caves. Getting very pollished.",Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Olympic Wall,"Steep slabs and walls, on the big cra above Odyssey. Rough rock with lots of big tufas and pockets that give excellent climbing. Gets the sun after about 1.30pm",Limestone,400m
Greece,Greece - Kalymnos,Kalymnos Palionisos,"At the north end of the island is a remote, beautiful bay and beach with a few houses and bars. This is Palionisos.",Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Panorama,An excellent and popular crag with tufa climbing on quality rock that is as good as it gets. The tufas can sometimes be greasy on humid windless days.,Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Pezonda,"A relatively remote crag reached from the top of the Arginonta pass with late afternoon shade. It has several sectors with varying quality of rock, from poor to excellent.",Limestone,250m
Greece,Greece - Kalymnos,Kalymnos Poets,"The nearest climbing to Masouri, and thus very popular. Lots of excellent routes on superb rock in all grades.",Limestone,100m
Greece,Greece - Kalymnos,Kalymnos Prophitis Andreas,"High up on the skyline above Skalia, Prophitis Andreas offers beautiful views and lovely climbing on slabs and walls. The rock is mostly good and the routes are long and well equipped.",Limestone,500m
Greece,Greece - Kalymnos,Kalymnos Red Wall,"A conspicuous crag just a kilometre from Palionisos Bay, the Red Wall has some excellent steep and technical fingery routes on generally good rock.",Limestone,50m
Greece,Greece - Kalymnos,Kalymnos Saint Photis,A beautiful walk to a beautiful crag next to the quaint chapel of Saint Photis.,Limestone,100m
Greece,Greece - Kalymnos,Kalymnos Sea Breeze,"An excellent crag for beginners and middle grade climbers with easy access and lovely views over Arginonta bay. The routes are mostly slabs and walls, and many require an 80m rope.",Limestone,100m
Greece,Greece - Kalymnos,Kalymnos Secret Garden,"Being one of the few crags that gets the shade all day has meant that the once ""Secret"" Garden has become a ""very well known and popular"" garden.",Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Sikati Cave,An incredible geological feature on the north side of the island. Sikati Cave is a huge hole in the ground 100m tall and 100m wide situated above a beautiful beach.,Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Spartacus,"A popular crag, with some excellent long and hard routes. Spartacus is a large cave that does not get the sun until late in the day, hence the popularity.",Limestone,300m
Greece,Greece - Kalymnos,Kalymnos Spartan Wall and Afternoon,"The crags left of Grande Grotta are perfect for climbing in the Afternoon, they do not get the sun until about 4pm.",Limestone,250m
Greece,Greece - Kalymnos,Kalymnos Stankill and Ivory Tower,"The two sectors Stankill and Ivory Tower are probably the quietest in the Poets / Grande Grotta area, the slightly longer walk thinning the crowds a bit.",Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Styx,"Sheltered and south facing, the main part of Styx is a sun trap and thus a good crag for the winter months.",Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Summertime,"One of the few sectors at Kalymnos that gets the shade in the afternoon, so popular with those that stay in bed late.",Limestone,200m
Greece,Greece - Kalymnos,Kalymnos Symplegades,A pleasant location high above the southern end of Masouri with climbing in a sort of gorge that has always a sunny and shady side.,Limestone,400m
Greece,Greece - Kalymnos,Kalymnos Vathy,"Vathy is a pleasant and pictueresque port on the east side of alymnos. It is best know for its Deep Water Soloing crag, but there are also some long sea traverses and a couple of bolted cliffs.",Limestone,12m
Greece,Greece - Leonidio,Leonidio Berlin Wall,"Lots of mid grade walls, with a couple of steeper climbs. Mostly on good rough rock. Gets the sun until about 2pm. The routes have the name written at the bottom.",Limestone,300m
Greece,Greece - Leonidio,Leonidio Cave of Panagia,"The slabs and tufas of Panagia offer a variety of climbing. Easy climbing on the slabs, mid grade walls to the left and steep tufas above the ledge.",Limestone,100m
Greece,Greece - Leonidio,Leonidio FRYDI,"A small slab of excellent rock, with a few mid grade routes on it. Gets the sun in the morning, and the shade in the afternoon. Route names written at the  bottom of the climbs.",Limestone,200m
Greece,Greece - Leonidio,Leonidio Grand Cuckoo,"A beautiful wall of grey limestone, with a handful of excellent mid grade routes. The rock is very solid, and the protection very good. Not much shade from the sun on hot days.",Limestone,200m
Greece,Greece - Leonidio,Leonidio Hada,An excellent overhanging crag protected by big roofs in a large gorge. The steep scramble to the bottom of the routes (not suitable for small children) give the climbs that extra bit of exposure.,Limestone,200m
Greece,Greece - Leonidio,Leonidio Hot Rock,"A popular spot due to the many mid grade slab and wall climbs. It has beautiful views over the surrounding area, solid rock and is well bolted.",Limestone,300m
Greece,Greece - Leonidio,Leonidio La maison des chèvres,"Mostly steep and hard, this big cave does have an interesting shelter for the goats, and some easier routes on the flanks. However, it is the hard routes that attract, and they are excellent.",Limestone,500m
Greece,Greece - Leonidio,Leonidio Mad & Yellow walls,"A bit of a sun trap with excellent well bolted lines on very good grey limestone. Mad Wall is slabby, Yellow Wall a bit steeper. Most of the routes have the names written at the bottom.",Limestone,200m
Greece,Greece - Leonidio,Leonidio Mars,"A tufa ridden crag of beautiful red limestone, Mars is a paradise for those who like strenuous stalactites and walls.",Limestone,200m
Greece,Greece - Leonidio,Leonidio Nifada,"Developed in 2015 by Austrian climbers Angela Eiter and Bernie Ruech, Nifada is a steep tufa ridden crag on the road between Elona and Kosmas, a few kilometres away from the main Leonidio sites.",Limestone,800m
Greece,Greece - Leonidio,Leonidio St. Nicholas,"Located just above the monastery of St. Nicholas, are some very impressive cliffs, that reach a height of over 100m.",Limestone,500m
Greece,Greece - Telendos,Telendos Eros,"A lovely cliff with two distinct climbing styles. The left hand side is steep, smooth and overhanging.",Limestone,300m
Greece,Greece - Telendos,Telendos Irox,"A popular crag right next to where the ferry that takes you to the climbing stops on Telendos. It has routes of all grades from, pleasant slabs to overhanging test pieces.",Limestone,50m
Greece,Greece - Telendos,Telendos Lambda,"Long, sustained, single pitch wall climbs mostly with excellent holds in a beautiful location. An 80m rope is pretty much essential and even then tie a knot in the end.",Limestone,100m
Greece,Greece - Telendos,Telendos Miltiadis,"A very pleasant crag with a variety of routes on rough rock, mostly in the easier grades, but also with a few excellent harder routes.",Limestone,100m
Greece,Greece - Telendos,Telendos Pescatore,"Mainly wall climbing varying from pleasant slabs to overhanging tufas. Excellent routes on solid, sometimes sharp rock up to 30m in height.",Limestone,50m
